city,latitude,longitude,name,province
Del Rio,29.38843,-100.90521,Chick Fil-A,TX
Bryan,30.69488984,-96.36236943,Burger King,TX
Burleson,32.563248,-97.322393,Arbys,TX
Burleson,32.566362,-97.319315,Chick Fil-A,TX
Bellaire,29.70529415,-95.4730184,Burger King,TX
Abilene,32.405234,-99.764985,Arbys,TX
Pettus,28.847141,-97.44154,Dairy Queen,TX
Flourtown,40.111177,-75.214144,Mcdonalds,PA
Chestertown,39.224652,-76.06993,Arbys,MD
Chestertown,39.224652,-76.06993,Arbys,MD
Orlando,28.44004,-81.4037,Arbys,FL
Columbia,39.196116,-76.82101,Mcdonalds,MD
Elkridge,39.208926,-76.724769,Burger King,MD
Fairless Hills,40.169035,-74.849233,Arbys,PA
Fairless Hills,40.169035,-74.849233,Arbys,PA
Ephrata,40.164651,-76.154297,Arbys,PA
Abingdon,36.705143,-81.974501,Arbys,VA
Abingdon,36.705143,-81.974501,Arbys,VA
Ebensburg,40.47425,-78.74575,Burger King,PA
Erie,42.092031,-80.084087,Arbys,PA
Erie,42.108355,-80.050799,Arbys,PA
Florence,39.019712,-84.628729,Burger King,KY
Coopersburg,40.509286,-75.385827,Burger King,PA
Berwick,41.049741,-76.252443,Burger King,PA
Frankfort,38.178962,-84.894596,Burger King,KY
Crawfordsville,40.021575,-86.903344,Arbys,IN
Gaffney,35.077732,-81.703527,Arbys,SC
Elko,40.83757,-115.78954,Burger King,NV
Coram,40.869655,-72.999817,Mcdonalds,NY
Brookhaven,31.579563,-90.459029,Burger King,MS
Amityville,40.689896,-73.408119,Burger King,NY
Pickens,34.884512,-82.70476,Mcdonalds,SC
Spartanburg,34.966901,-81.929552,Mcdonalds,SC
Gambrills,39.037925,-76.678372,Burger King,MD
Red Springs,34.811406,-79.174756,Mcdonalds,NC
Van,32.499851,-95.596225,Dairy Queen,TX
Van,32.499851,-95.596225,Dairy Queen,TX
Tivoli,28.453429,-96.888108,Dairy Queen,TX
Rusk,31.802884,-95.148673,Dairy Queen,TX
Borger,35.663865,-101.389964,Dairy Queen,TX
San Marcos,29.689434,-97.667085,Dairy Queen,TX
San Antonio,29.42306,-98.484173,Dairy Queen,TX
San Antonio,29.351346,-98.458339,Dairy Queen,TX
Utica,42.62877,-82.993912,Taco Bell,MI
Ann Arbor,42.230907,-83.739813,Taco Bell,MI
Bakersfield,35.398432,-119.109364,Taco Bell,CA
Portage,41.575923,-87.173196,Dairy Queen,IN
Evansville,38.040812,-87.540047,Dairy Queen,IN
Indianapolis,39.760374,-86.101163,Dairy Queen,IN
Mishawaka,41.66294,-86.12615,Dairy Queen,IN
Evansville,37.977571,-87.634586,Dairy Queen,IN
North Manchester,41.016468,-85.759674,Dairy Queen,IN
New Albany,38.346607,-85.797911,Dairy Queen,IN
Wayne,42.283657,-83.363898,Taco Bell,MI
Mattoon,39.481538,-88.364454,Dairy Queen,IL
Chicago,41.953301,-87.767849,Dairy Queen,IL
El Paso,40.737017,-89.026139,Dairy Queen,IL
Mahomet,40.191908,-88.401881,Dairy Queen,IL
Cambridge,42.389162,-71.11789,Mcdonalds,MA
Boston,42.338242,-71.106394,Mcdonalds,MA
Lincoln Park,42.25059,-83.195322,Taco Bell,MI
Massillon,40.80019,-81.511421,Taco Bell,OH
Kings Mountain,35.231412,-81.332652,Taco Bell,NC
Pekin,40.566695,-89.653915,Dairy Queen,IL
Peoria,40.738856,-89.602672,Dairy Queen,IL
Petersburg,40.008448,-89.848308,Dairy Queen,IL
Decatur,39.819918,-88.883699,Dairy Queen,IL
Cary,42.219047,-88.258381,Dairy Queen,IL
Monmouth,40.914208,-90.648196,Dairy Queen,IL
Marion,37.740923,-88.925396,Dairy Queen,IL
Marion,37.740923,-88.925396,Dairy Queen,IL
Lafayette,30.252668,-92.037149,Mcdonalds,LA
Montrose,43.176212,-83.887437,Mcdonalds,MI
Cartersville,34.203844,-84.809281,Subway,GA
Bowdon,33.538661,-85.251916,Subway,GA
Macon,32.856549,-83.616455,Dairy Queen,GA
Gainesville,34.228802,-83.864934,Dairy Queen,GA
Warner Robins,32.618255,-83.618517,Dairy Queen,GA
Albany,31.499616,-84.115596,Subway,GA
Albany,31.620486,-84.220416,Subway,GA
